Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Total;De 25 à 49 ans;35
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91247;La Forêt-le-Roi;Brutes;ABC;Hommes;Total;10
2015-T4;11;Île-de-France;91;Essonne;91247;La Forêt-le-Roi;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91248;La Forêt-Sainte-Croix;Brutes;ABC;Femmes;Total;0
2015-T4;11;Île-de-France;91;Essonne;91248;La Forêt-Sainte-Croix;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91249;Forges-les-Bains;Brutes;ABC;Total;Total;175
2015-T4;11;Île-de-France;91;Essonne;91249;Forges-les-Bains;Brutes;ABC;Total;De 25 à 49 ans;100
2015-T4;11;Île-de-France;91;Essonne;91272;Gif-sur-Yvette;Brutes;ABC;Total;Total;805
2015-T4;11;Île-de-France;91;Essonne;91272;Gif-sur-Yvette;Brutes;ABC;Hommes;Total;365
2015-T4;11;Île-de-France;91;Essonne;91272;Gif-sur-Yvette;Brutes;ABC;Femmes;Total;440
2015-T4;11;Île-de-France;91;Essonne;91272;Gif-sur-Yvette;Brutes;ABC;Total;Moins de 25 ans;90
2015-T4;11;Île-de-France;91;Essonne;91273;Gironville-sur-Essonne;Brutes;ABC;Total;Total;30
2015-T4;11;Île-de-France;91;Essonne;91273;Gironville-sur-Essonne;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91274;Gometz-la-Ville;Brutes;ABC;Total;Total;65
2015-T4;11;Île-de-France;91;Essonne;91274;Gometz-la-Ville;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91275;Gometz-le-Châtel;Brutes;ABC;Total;Total;110
2015-T4;11;Île-de-France;91;Essonne;91284;Les Granges-le-Roi;Brutes;ABC;Hommes;Total;25
2015-T4;11;Île-de-France;91;Essonne;91284;Les Granges-le-Roi;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91284;Les Granges-le-Roi;Brutes;ABC;Total;De 25 à 49 ans;25
2015-T4;11;Île-de-France;91;Essonne;91284;Les Granges-le-Roi;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91286;Grigny;Brutes;ABC;Total;De 25 à 49 ans;2145
2015-T4;11;Île-de-France;91;Essonne;91292;Guibeville;Brutes;ABC;Femmes;Total;15
2015-T4;11;Île-de-France;91;Essonne;91292;Guibeville;Brutes;ABC;Total;De 25 à 49 ans;15
2015-T4;11;Île-de-France;91;Essonne;91293;Guigneville-sur-Essonne;Brutes;ABC;Total;Total;40
2015-T4;11;Île-de-France;91;Essonne;91293;Guigneville-sur-Essonne;Brutes;ABC;Hommes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91293;Guigneville-sur-Essonne;Brutes;ABC;Femmes;Total;25
2015-T4;11;Île-de-France;91;Essonne;91293;Guigneville-sur-Essonne;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91293;Guigneville-sur-Essonne;Brutes;ABC;Total;50 ans et plus;10
2015-T4;11;Île-de-France;91;Essonne;91294;Guillerval;Brutes;ABC;Hommes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91294;Guillerval;Brutes;ABC;Total;50 ans et plus;15
