"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Massy";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;140,058423
"Massy";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;1084,486092
"Gif-sur-Yvette";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;1280,023634
"Chilly-Mazarin";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;191,309551
"Gif-sur-Yvette";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;232,478719
"Orsay";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;84,066761
"Épinay-sur-Orge";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;21,923369
"Longjumeau";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;103,654809
"Les Ulis";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;186,324813
"Épinay-sur-Orge";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;104,391311
"Les Ulis";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;63,57355
"Vauhallan";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;1939,034121
"Longjumeau";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;232,818983
"Orsay";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;739,37675
"Linas";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;7227,068891
"Palaiseau";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;1398,445109
"Villebon-sur-Yvette";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;225,881153
"Verrières-le-Buisson";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;111,125556
"Igny";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;103,187554
"Verrières-le-Buisson";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;99,715107
"Orsay";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;73,696929
"Épinay-sur-Orge";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;420,170622
"Bures-sur-Yvette";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;9402,089953
"Villebon-sur-Yvette";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;65,764945
"Longjumeau";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;20135,355285
"Ballainvilliers";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;4772
"Orsay";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;24,135075
"Palaiseau";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;294,067674
"Gif-sur-Yvette";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;71,621816
"Les Ulis";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;320,546659
"Gometz-le-Châtel";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;2608,032817
"Massy";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;179,806046
"Les Ulis";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;73,139995
"Gif-sur-Yvette";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;856,329877
"Villebon-sur-Yvette";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;121,566537
"Chilly-Mazarin";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;643,42004
"Chilly-Mazarin";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;19694,861855
"Chilly-Mazarin";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;56,494691
"Igny";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;25,643063
"Saclay";"Commune";"1 an ou plus";"Total";"Population";"Annuel";2022;4343,057586
