"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2016;47
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2016;31
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2016;67
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2016;101
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2016;116
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2016;16
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2016;337
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2016;4419
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2017;148
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2017;26
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2017;113
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2017;16
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2017;37
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2017;568
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2017;95
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2017;107
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2017;37
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2017;4
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2017;87
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2017;121
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2017;326
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2017;10
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2017;78
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2017;427
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2017;322
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2017;27
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2017;95
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2017;80
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2017;72
