"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;1322,6963
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;408,01365
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;1413,44089
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;28,72391
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;887,44827
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;2025,8788
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;498,01949
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;31773,19944
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;15888,9145
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;22110,79308
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;30100,25526
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;1712,4341
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;25093,40376
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;1279,02139
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;34,81558
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;1238,21385
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;1998,82088
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;482,00285
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;1070,24802
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;665
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;875
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;660
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;435
"Marcoussis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;660
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;90
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;345
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;275
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;20
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;465
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;310
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;10
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;625,96002
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;55
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;643,75194
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;38,77784
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;0
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;40
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;514,81488
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;165,14637
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;125
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;165
"Linas";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;550,15217
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;105
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;1103,75752
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;884,00489
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;1033,83623
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;928,95429
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;464,47715
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;44,9494
"Vauhallan";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;117,89799
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;686,54211
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;4,91242
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;2443,70423
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;163,9626
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;62,07123
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;271,4901
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;3461,82229
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;947,42176
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;1391,22023
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;1385,67716
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;1020,87573
"Palaiseau";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;3960,29222
"Les Ulis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;3019,86515
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;171,93457
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;329,13189
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;390,56362
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;2666,37095
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;127,72282
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;49,12416
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;2341,85653
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;952,64295
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;2324,61144
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;916,72071
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;103,61045
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;9,84624
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;482,46595
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;490,275
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;5,19235
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;480,77749
"Saclay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2016;246,1561
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;305,23356
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;324,92605
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;432,33584
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2016;580,64455
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;78,76995
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2016;0
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2016;379,90944
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2016;64,72262
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2016;34,85064
