"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2016;74
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2016;1839
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2017;14
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2017;181
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2017;244
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2017;60
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2017;25
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2017;39
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2017;85
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2017;146
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2017;4
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2017;5
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2017;95
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2017;65
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2017;11
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2017;66
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2017;104
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2017;29
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2017;13
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2017;134
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2017;120
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2017;33
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2017;28
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2017;44
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2017;105
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2017;28
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2017;2
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2017;9
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2017;29
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2017;1718
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2018;27
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2018;18
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2018;63
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2018;83
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2018;125
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2018;163
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2018;27
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2018;106
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2018;60
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2018;31
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2018;5
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2018;53
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2018;173
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2018;22
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2018;33
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2018;66
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2018;266
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2018;72
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2018;94
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2018;97
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2018;13
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2018;126
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2018;6
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2018;2
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2018;38
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2018;15
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2018;12
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2018;1796
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2019;9
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2019;29
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2019;36
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2019;52
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2019;14
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2019;103
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2019;32
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2019;273
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2019;2
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2019;110
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2019;181
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2019;2
