"Géographie";"Niveau Géo";"Sexe";"Âge";"Mesure du recensement ";Période;Valeur
"Saint-Aubin";"Commune";"Total";"Moins de 15 ans";"Population";2011;154,113019
"Nozay";"Commune";"Total";"Total";"Population";2011;4736
"Montlhéry";"Commune";"Total";"Total";"Population";2011;7019
"Longjumeau";"Commune";"Total";"Total";"Population";2011;21510
"Bures-sur-Yvette";"Commune";"Total";"Total";"Population";2011;9676
"Wissous";"Commune";"Total";"Total";"Population";2011;6093
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Population";2011;1231
"Gometz-le-Châtel";"Commune";"Total";"Total";"Population";2011;2622
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Population";2011;5065
"Champlan";"Commune";"Total";"Total";"Population";2011;2596
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Population";2011;9742
"Saint-Aubin";"Commune";"Total";"Total";"Population";2011;695
"Chilly-Mazarin";"Commune";"Total";"Total";"Population";2011;18843
"Gif-sur-Yvette";"Commune";"Total";"Total";"Population";2011;20622
"Linas";"Commune";"Total";"Total";"Population";2011;6519
"Marcoussis";"Commune";"Total";"Total";"Population";2011;7987
"Épinay-sur-Orge";"Commune";"Total";"Total";"Population";2011;10349
"Massy";"Commune";"Total";"Total";"Population";2011;43006
"Igny";"Commune";"Total";"Total";"Population";2011;10522
"Ballainvilliers";"Commune";"Total";"Total";"Population";2011;3779
"La Ville-du-Bois";"Commune";"Total";"Total";"Population";2011;7118
"Saclay";"Commune";"Total";"Total";"Population";2011;3439
"Verrières-le-Buisson";"Commune";"Total";"Total";"Population";2011;15534
"Orsay";"Commune";"Total";"Total";"Population";2011;15903
"Palaiseau";"Commune";"Total";"Total";"Population";2011;30316
"Villejust";"Commune";"Total";"Total";"Population";2011;2252
"Vauhallan";"Commune";"Total";"Total";"Population";2011;1969
"Les Ulis";"Commune";"Total";"Total";"Population";2011;24641
"Bures-sur-Yvette";"Commune";"Femme";"Moins de 15 ans";"Population";2011;839,320695
"Champlan";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;287,146727
"Chilly-Mazarin";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;1023,231635
"Montlhéry";"Commune";"Homme";"De 25 à 39 ans";"Population";2011;772,809609
"Villiers-le-Bâcle";"Commune";"Homme";"Moins de 15 ans";"Population";2011;143
"Gif-sur-Yvette";"Commune";"Femme";"De 15 à 24 ans";"Population";2011;1265,168135
"Linas";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;691,50514
"Linas";"Commune";"Femme";"80 ans ou plus";"Population";2011;87,656828
"Nozay";"Commune";"Femme";"Moins de 15 ans";"Population";2011;581,116978
"Saulx-les-Chartreux";"Commune";"Femme";"De 15 à 24 ans";"Population";2011;294,512605
"Les Ulis";"Commune";"Femme";"Moins de 15 ans";"Population";2011;2997,987994
"Longjumeau";"Commune";"Femme";"80 ans ou plus";"Population";2011;603,087892
"Palaiseau";"Commune";"Femme";"De 40 à 54 ans";"Population";2011;3129,000483
"Nozay";"Commune";"Homme";"80 ans ou plus";"Population";2011;21,707717
"Les Ulis";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;1473,95609
"Wissous";"Commune";"Femme";"De 25 à 39 ans";"Population";2011;525,594162
"Nozay";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;586,022607
"Villiers-le-Bâcle";"Commune";"Homme";"De 15 à 24 ans";"Population";2011;76
"Épinay-sur-Orge";"Commune";"Femme";"De 40 à 54 ans";"Population";2011;1179,895195
"Longjumeau";"Commune";"Homme";"Moins de 15 ans";"Population";2011;2344,403638
"Saint-Aubin";"Commune";"Femme";"De 25 à 39 ans";"Population";2011;61,645207
"Gif-sur-Yvette";"Commune";"Femme";"De 25 à 39 ans";"Population";2011;1631,280522
"Champlan";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;153,779533
"Wissous";"Commune";"Femme";"De 40 à 54 ans";"Population";2011;713,085462
"Villejust";"Commune";"Homme";"Moins de 15 ans";"Population";2011;247,550158
"Palaiseau";"Commune";"Femme";"De 25 à 39 ans";"Population";2011;3247,277951
"Champlan";"Commune";"Femme";"De 40 à 54 ans";"Population";2011;283,253574
"Ballainvilliers";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;468
"Igny";"Commune";"Femme";"80 ans ou plus";"Population";2011;263,911669
"Villebon-sur-Yvette";"Commune";"Femme";"Moins de 15 ans";"Population";2011;857,7832
"Bures-sur-Yvette";"Commune";"Homme";"De 55 à 64 ans";"Population";2011;615,948535
"Orsay";"Commune";"Homme";"De 25 à 39 ans";"Population";2011;1634,375588
"Villebon-sur-Yvette";"Commune";"Femme";"80 ans ou plus";"Population";2011;199,614902
"Saclay";"Commune";"Homme";"Moins de 15 ans";"Population";2011;432,789201
"Champlan";"Commune";"Homme";"80 ans ou plus";"Population";2011;35,038375
"Wissous";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;471,139999
"Les Ulis";"Commune";"Homme";"De 25 à 39 ans";"Population";2011;2587,350871
"Montlhéry";"Commune";"Homme";"De 65 à 79 ans";"Population";2011;316,555864
"Ballainvilliers";"Commune";"Homme";"De 15 à 24 ans";"Population";2011;228
"Igny";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;607,206005
"Les Ulis";"Commune";"Homme";"Moins de 15 ans";"Population";2011;2935,909836
"Verrières-le-Buisson";"Commune";"Homme";"De 65 à 79 ans";"Population";2011;991,41839
"Saclay";"Commune";"Homme";"De 25 à 39 ans";"Population";2011;320,093545
"Massy";"Commune";"Femme";"Moins de 15 ans";"Population";2011;4353,317577
"Gometz-le-Châtel";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;276,587287
"Massy";"Commune";"Femme";"De 40 à 54 ans";"Population";2011;4285,09507
"Gif-sur-Yvette";"Commune";"Homme";"80 ans ou plus";"Population";2011;274,725769
"La Ville-du-Bois";"Commune";"Femme";"De 25 à 39 ans";"Population";2011;696
"Orsay";"Commune";"Femme";"De 55 à 64 ans";"Population";2011;951,161141
"Vauhallan";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;223,478794
"Villejust";"Commune";"Femme";"De 65 à 79 ans";"Population";2011;66,147006
"Ballainvilliers";"Commune";"Homme";"De 25 à 39 ans";"Population";2011;318
"Linas";"Commune";"Homme";"De 15 à 24 ans";"Population";2011;482,787497
"Villejust";"Commune";"Homme";"De 40 à 54 ans";"Population";2011;268,596933
"Linas";"Commune";"Homme";"De 55 à 64 ans";"Population";2011;374,226213
"Orsay";"Commune";"Femme";"De 65 à 79 ans";"Population";2011;1075,584762
"Orsay";"Commune";"Femme";"Moins de 15 ans";"Population";2011;1140,134129
"Les Ulis";"Commune";"Femme";"De 65 à 79 ans";"Population";2011;820,644523
"Villiers-le-Bâcle";"Commune";"Homme";"80 ans ou plus";"Population";2011;8
"Saclay";"Commune";"Homme";"De 65 à 79 ans";"Population";2011;132,023106
"Épinay-sur-Orge";"Commune";"Femme";"De 65 à 79 ans";"Population";2011;642,158618
"Orsay";"Commune";"Homme";"Moins de 15 ans";"Population";2011;1363,61991
"La Ville-du-Bois";"Commune";"Femme";"80 ans ou plus";"Population";2011;111
"Verrières-le-Buisson";"Commune";"Homme";"De 55 à 64 ans";"Population";2011;949,24423
